Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
PrecoAbertura;14.24;0.88;0.66;14.11;14.11;12.46;16.05;3.59;0.78
PrecoFechamento;14.15;0.79;0.59;14.06;14.06;12.60;15.90;3.30;0.62
PrecoMaximo;14.46;0.91;0.68;14.32;14.32;12.67;16.48;3.81;0.83
PrecoMinimo;13.90;0.75;0.57;13.88;13.88;12.21;15.74;3.53;0.57
PrecoMedio;14.14;0.79;0.59;14.12;14.12;12.51;16.03;3.52;0.63
PrecoMelhorCompra;14.17;0.79;0.59;14.11;14.11;12.60;15.91;3.31;0.63
PrecoMelhor;14.14;0.79;0.59;14.05;14.05;12.56;15.90;3.34;0.63

