Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
PrecoAbertura;22.10;1.14;0.97;21.69;21.69;20.67;24.32;3.65;1.29
PrecoFechamento;22.15;1.18;1.01;21.65;21.65;20.76;24.54;3.78;1.39
PrecoMaximo;22.37;1.12;0.95;21.92;21.92;20.99;24.54;3.55;1.25
PrecoMinimo;21.75;1.11;0.95;21.33;21.33;20.47;23.92;3.45;1.23
PrecoMedio;22.06;1.14;0.97;21.56;21.56;20.75;24.26;3.51;1.29
PrecoMelhorCompra;22.17;1.18;1.01;21.68;21.68;20.79;24.54;3.75;1.40
PrecoMelhor;22.12;1.17;1.00;21.64;21.64;20.74;24.51;3.77;1.37

