Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
PrecoAbertura;5.34;0.15;0.12;5.36;5.36;5.03;5.56;0.53;0.02
PrecoFechamento;5.34;0.15;0.12;5.35;5.35;5.06;5.62;0.56;0.02
PrecoMaximo;5.42;0.15;0.12;5.45;5.45;5.13;5.67;0.54;0.02
PrecoMinimo;5.26;0.14;0.11;5.28;5.28;5.01;5.50;0.49;0.02
PrecoMedio;5.34;0.14;0.11;5.36;5.36;5.08;5.59;0.51;0.02
PrecoMelhorCompra;5.35;0.15;0.12;5.36;5.36;5.07;5.63;0.56;0.02
PrecoMelhor;5.34;0.15;0.12;5.35;5.35;5.06;5.62;0.56;0.02

