Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
PrecoAbertura;33.49;1.24;1.07;33.79;33.79;31.54;35.68;4.14;1.54
PrecoFechamento;33.50;1.15;0.96;33.75;33.75;31.50;35.38;3.88;1.32
PrecoMaximo;33.89;1.20;1.01;34.08;34.08;31.96;35.81;3.85;1.45
PrecoMinimo;32.97;1.14;1.00;33.30;33.30;30.91;34.85;3.94;1.31
PrecoMedio;33.46;1.15;0.97;33.71;33.71;31.35;35.18;3.83;1.33
PrecoMelhorCompra;33.53;1.15;0.96;33.80;33.80;31.53;35.38;3.85;1.32
PrecoMelhor;33.48;1.14;0.96;33.74;33.74;31.50;35.37;3.87;1.30

