Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
PrecoAbertura;9.31;0.26;0.21;9.25;9.25;9.00;9.83;0.83;0.07
PrecoFechamento;9.33;0.27;0.23;9.23;9.23;8.97;9.83;0.86;0.07
PrecoMaximo;9.38;0.28;0.23;9.27;9.27;9.06;9.97;0.91;0.08
PrecoMinimo;9.25;0.25;0.21;9.17;9.17;8.92;9.77;0.85;0.06
PrecoMedio;9.31;0.27;0.23;9.21;9.21;8.97;9.90;0.93;0.07
PrecoMelhorCompra;9.33;0.27;0.23;9.23;9.23;8.98;9.83;0.85;0.08
PrecoMelhor;9.32;0.27;0.23;9.21;9.21;8.97;9.82;0.85;0.08

