Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
PrecoAbertura;30.19;1.03;0.88;29.88;29.88;28.62;32.09;3.47;1.07
PrecoFechamento;30.15;1.05;0.88;29.90;29.90;28.50;32.42;3.92;1.11
PrecoMaximo;30.52;1.01;0.84;30.25;30.25;28.98;32.62;3.64;1.03
PrecoMinimo;29.76;1.04;0.86;29.54;29.54;28.32;31.70;3.38;1.08
PrecoMedio;30.13;1.03;0.85;29.93;29.93;28.63;32.18;3.55;1.06
PrecoMelhorCompra;30.17;1.06;0.88;29.90;29.90;28.52;32.42;3.90;1.12
PrecoMelhor;30.13;1.05;0.87;29.84;29.84;28.50;32.33;3.83;1.09

