Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
PrecoAbertura;29.69;1.13;0.88;29.66;29.66;27.94;31.79;3.85;1.28
PrecoFechamento;29.79;1.18;0.92;29.70;29.70;27.82;31.69;3.87;1.39
PrecoMaximo;29.98;1.18;0.91;29.89;29.89;28.08;32.09;4.01;1.39
PrecoMinimo;29.45;1.16;0.89;29.43;29.43;27.43;31.28;3.85;1.35
PrecoMedio;29.73;1.18;0.91;29.67;29.67;27.69;31.81;4.12;1.39
PrecoMelhorCompra;29.80;1.18;0.92;29.71;29.71;27.83;31.70;3.87;1.39
PrecoMelhor;29.77;1.18;0.91;29.70;29.70;27.82;31.67;3.85;1.38

