classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170705;1;N;13.16;12.93;13160.00;12930.00;-230.00;0.00;0.00;-240.04;-1.75;-1.36;-0.38;-0.38;-1.75;-1.36;-240.04;0.00
7;20170710;1;S;12.74;13.07;12740.00;13070.00;330.00;17.98;28.07;301.93;2.59;2.02;0.57;0.19;0.84;0.66;61.89;17.98
7;20170711;1;S;13.40;13.58;13400.00;13580.00;180.00;33.94;44.22;135.78;1.34;1.05;0.30;0.48;2.19;1.70;197.67;51.93
7;20170719;1;N;13.89;13.63;13890.00;13630.00;-260.00;0.00;0.00;-270.30;-1.87;-1.46;-0.41;0.07;0.31;0.24;-72.63;51.93
7;20170804;1;S;13.81;14.02;13810.00;14020.00;210.00;39.91;50.36;159.64;1.52;1.19;0.33;0.40;1.83;1.43;87.01;91.84
7;20170809;1;N;13.98;13.62;13980.00;13620.00;-360.00;0.00;0.00;-370.29;-2.58;-2.01;-0.57;-0.16;-0.74;-0.58;-283.28;91.84
7;20170810;1;N;13.55;13.51;13550.00;13510.00;-40.00;0.00;0.00;-50.25;-0.30;-0.23;-0.06;-0.23;-1.04;-0.81;-333.54;91.84
