Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
PrecoAbertura;15.11;0.69;0.54;15.18;15.18;13.85;16.16;2.31;0.47
PrecoFechamento;15.12;0.69;0.54;15.19;15.19;13.75;16.15;2.40;0.47
PrecoMaximo;15.26;0.69;0.55;15.31;15.31;13.93;16.27;2.34;0.48
PrecoMinimo;14.91;0.68;0.55;14.89;14.89;13.70;15.97;2.27;0.46
PrecoMedio;15.08;0.69;0.55;15.14;15.14;13.78;16.11;2.33;0.48
PrecoMelhorCompra;15.13;0.69;0.54;15.20;15.20;13.76;16.17;2.41;0.47
PrecoMelhor;15.11;0.69;0.54;15.19;15.19;13.75;16.15;2.40;0.47

