Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
PrecoAbertura;35.34;1.00;0.80;35.54;35.54;33.20;37.20;4.00;1.01
PrecoFechamento;35.31;1.01;0.80;35.57;35.57;33.20;37.19;3.99;1.03
PrecoMaximo;35.68;0.98;0.78;35.95;35.95;33.76;37.33;3.57;0.96
PrecoMinimo;34.87;0.97;0.79;35.20;35.20;32.77;36.52;3.75;0.95
PrecoMedio;35.25;1.00;0.80;35.58;35.58;33.07;36.74;3.67;1.01
PrecoMelhorCompra;35.33;1.02;0.80;35.59;35.59;33.20;37.19;3.99;1.03
PrecoMelhor;35.27;1.00;0.78;35.55;35.55;33.16;37.09;3.93;0.99

