Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
PrecoAbertura;13.55;0.35;0.26;13.59;13.59;12.64;14.10;1.46;0.13
PrecoFechamento;13.53;0.36;0.27;13.61;13.61;12.68;14.03;1.35;0.13
PrecoMaximo;13.68;0.35;0.27;13.70;13.70;12.76;14.19;1.43;0.12
PrecoMinimo;13.37;0.37;0.28;13.47;13.47;12.47;13.90;1.43;0.14
PrecoMedio;13.53;0.36;0.27;13.61;13.61;12.67;14.01;1.34;0.13
PrecoMelhorCompra;13.53;0.36;0.27;13.61;13.61;12.68;14.06;1.38;0.13
PrecoMelhor;13.52;0.36;0.27;13.59;13.59;12.67;14.03;1.36;0.13

