Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
PrecoAbertura;9.09;0.70;0.51;9.22;9.22;7.44;10.20;2.76;0.49
PrecoFechamento;9.12;0.68;0.49;9.20;9.20;7.36;10.48;3.12;0.46
PrecoMaximo;9.30;0.69;0.49;9.39;9.39;7.47;10.69;3.22;0.48
PrecoMinimo;8.88;0.67;0.49;9.00;9.00;7.27;9.76;2.49;0.45
PrecoMedio;9.09;0.68;0.50;9.18;9.18;7.37;10.30;2.93;0.47
PrecoMelhorCompra;9.13;0.68;0.49;9.21;9.21;7.36;10.49;3.13;0.46
PrecoMelhor;9.11;0.68;0.49;9.19;9.19;7.35;10.48;3.13;0.46

