AMOSTRA
Dados; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; Classe0; Classe1
janelaDeslizante;03/07/2017;11/08/2017;30;26.96;30.90;40.00;60.00;12;18
 
BASELINE
OraculoGabarito; BuyAndHold; BuyAndHoldP; CDI;	Selic;	Ibovespa;	IGPM; QtdeMeses
pendente;3.94;12.13;1.60;1.60;12.26;1288.15;2
 
MEDIDASRISCO
Serie; Volatilidade; DesvioPadrao; Sharpe; Volatilidade Downside; DpDownside; Sortino;
RetornoFechamento-Abertura;6.61;0.42;1.59;3.17;0.20;3.32
