Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
PrecoAbertura;14.55;0.22;0.17;14.57;14.57;14.12;14.94;0.82;0.05
PrecoFechamento;14.53;0.21;0.17;14.52;14.52;14.13;14.93;0.80;0.05
PrecoMaximo;14.67;0.19;0.14;14.69;14.69;14.32;15.07;0.75;0.04
PrecoMinimo;14.40;0.20;0.16;14.42;14.42;13.98;14.75;0.77;0.04
PrecoMedio;14.52;0.20;0.15;14.50;14.50;14.16;14.95;0.79;0.04
PrecoMelhorCompra;14.56;0.22;0.17;14.54;14.54;14.13;15.00;0.87;0.05
PrecoMelhor;14.51;0.20;0.15;14.52;14.52;14.12;14.92;0.80;0.04

