Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
PrecoAbertura;28.97;0.93;0.79;29.20;29.20;27.27;30.27;3.00;0.87
PrecoFechamento;29.04;0.95;0.81;29.23;29.23;27.38;30.40;3.02;0.91
PrecoMaximo;29.30;0.92;0.78;29.59;29.59;27.68;30.63;2.95;0.85
PrecoMinimo;28.65;0.92;0.77;28.86;28.86;26.93;29.95;3.02;0.85
PrecoMedio;28.98;0.92;0.77;29.20;29.20;27.41;30.41;3.00;0.85
PrecoMelhorCompra;29.06;0.95;0.80;29.26;29.26;27.41;30.41;3.00;0.89
PrecoMelhor;29.01;0.95;0.80;29.23;29.23;27.38;30.40;3.02;0.90

