Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
PrecoAbertura;24.78;0.86;0.70;25.02;25.02;22.60;25.80;3.20;0.74
PrecoFechamento;24.66;0.88;0.71;24.93;24.93;22.59;25.80;3.21;0.78
PrecoMaximo;25.03;0.85;0.69;25.26;25.26;22.74;25.95;3.21;0.72
PrecoMinimo;24.38;0.87;0.70;24.63;24.63;22.19;25.64;3.45;0.76
PrecoMedio;24.68;0.86;0.71;24.96;24.96;22.56;25.77;3.21;0.74
PrecoMelhorCompra;24.68;0.89;0.72;24.94;24.94;22.59;25.80;3.21;0.79
PrecoMelhor;24.65;0.88;0.71;24.93;24.93;22.57;25.79;3.22;0.78

