Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
PrecoAbertura;15.72;0.40;0.29;15.64;15.64;15.11;16.69;1.58;0.16
PrecoFechamento;15.76;0.44;0.32;15.63;15.63;15.20;16.96;1.76;0.19
PrecoMaximo;15.94;0.45;0.35;15.81;15.81;15.28;16.96;1.68;0.20
PrecoMinimo;15.56;0.37;0.26;15.49;15.49;15.09;16.50;1.41;0.14
PrecoMedio;15.75;0.43;0.32;15.62;15.62;15.20;16.89;1.69;0.19
PrecoMelhorCompra;15.77;0.44;0.32;15.64;15.64;15.20;16.97;1.77;0.19
PrecoMelhor;15.75;0.44;0.32;15.62;15.62;15.18;16.96;1.78;0.19

