Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
PrecoAbertura;29.41;1.16;0.95;29.74;29.74;27.23;31.00;3.77;1.35
PrecoFechamento;29.50;1.15;0.89;29.75;29.75;27.17;30.92;3.75;1.32
PrecoMaximo;29.76;1.11;0.87;30.11;30.11;27.59;31.55;3.96;1.24
PrecoMinimo;29.12;1.14;0.92;29.47;29.47;26.89;30.74;3.85;1.30
PrecoMedio;29.44;1.12;0.89;29.71;29.71;27.27;31.13;3.86;1.26
PrecoMelhorCompra;29.52;1.14;0.89;29.75;29.75;27.17;30.98;3.81;1.30
PrecoMelhor;29.44;1.13;0.87;29.68;29.68;27.10;30.92;3.82;1.28

