Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
PrecoAbertura;14.47;0.67;0.54;14.58;14.58;13.20;15.40;2.20;0.45
PrecoFechamento;14.53;0.65;0.50;14.58;14.58;13.29;15.49;2.20;0.42
PrecoMaximo;14.71;0.63;0.48;14.73;14.73;13.62;15.60;1.98;0.40
PrecoMinimo;14.30;0.66;0.52;14.43;14.43;13.15;15.28;2.13;0.43
PrecoMedio;14.51;0.64;0.50;14.59;14.59;13.32;15.35;2.03;0.42
PrecoMelhorCompra;14.56;0.65;0.50;14.60;14.60;13.33;15.49;2.16;0.43
PrecoMelhor;14.51;0.65;0.50;14.57;14.57;13.29;15.43;2.14;0.42

