AMOSTRA
Dados; DataInicial; DataFinal; QtdeDias; PrecoInicial; PrecoFinal; Classe0; Classe1; Classe0; Classe1
janelaDeslizante;03/07/2017;11/08/2017;30;27.50;30.92;33.33;66.67;10;20
 
BASELINE
OraculoGabarito; BuyAndHold; BuyAndHoldP; CDI;	Selic;	Ibovespa;	IGPM; QtdeMeses
pendente;3.42;10.32;1.60;1.60;12.26;1288.15;2
 
MEDIDASRISCO
Serie; Volatilidade; DesvioPadrao; Sharpe; Volatilidade Downside; DpDownside; Sortino;
RetornoFechamento-Abertura;5.72;0.36;1.52;3.17;0.20;2.75
