Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
PrecoAbertura;5.15;0.35;0.27;5.06;5.06;4.64;5.86;1.22;0.12
PrecoFechamento;5.17;0.37;0.30;5.02;5.02;4.67;5.89;1.22;0.14
PrecoMaximo;5.23;0.38;0.31;5.10;5.10;4.69;5.98;1.29;0.14
PrecoMinimo;5.08;0.35;0.28;4.96;4.96;4.61;5.78;1.17;0.12
PrecoMedio;5.16;0.37;0.30;5.01;5.01;4.65;5.88;1.23;0.13
PrecoMelhorCompra;5.18;0.37;0.30;5.03;5.03;4.68;5.89;1.21;0.14
PrecoMelhor;5.17;0.37;0.30;5.01;5.01;4.67;5.87;1.20;0.14

