Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
PrecoAbertura;29.07;1.38;1.07;29.24;29.24;26.67;31.35;4.68;1.92
PrecoFechamento;29.15;1.39;1.08;29.27;29.27;26.63;31.35;4.72;1.92
PrecoMaximo;29.41;1.39;1.08;29.48;29.48;27.04;31.94;4.90;1.93
PrecoMinimo;28.79;1.39;1.07;28.91;28.91;26.45;31.11;4.66;1.92
PrecoMedio;29.10;1.39;1.08;29.20;29.20;26.81;31.61;4.80;1.93
PrecoMelhorCompra;29.15;1.39;1.08;29.27;29.27;26.64;31.37;4.73;1.92
PrecoMelhor;29.13;1.38;1.07;29.26;29.26;26.63;31.35;4.72;1.90

