Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
PrecoAbertura;12.93;0.49;0.38;13.00;13.00;11.83;13.60;1.77;0.24
PrecoFechamento;12.92;0.46;0.36;12.99;12.99;11.93;13.55;1.62;0.22
PrecoMaximo;13.07;0.47;0.37;13.15;13.15;12.01;13.69;1.68;0.22
PrecoMinimo;12.79;0.48;0.38;12.93;12.93;11.74;13.46;1.72;0.23
PrecoMedio;12.93;0.47;0.37;13.06;13.06;11.91;13.57;1.66;0.22
PrecoMelhorCompra;12.93;0.46;0.36;13.00;13.00;11.94;13.55;1.61;0.22
PrecoMelhor;12.92;0.46;0.36;12.99;12.99;11.93;13.54;1.61;0.22

