Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
PrecoAbertura;6.68;0.17;0.15;6.71;6.71;6.40;6.94;0.54;0.03
PrecoFechamento;6.67;0.17;0.15;6.70;6.70;6.42;6.92;0.50;0.03
PrecoMaximo;6.75;0.17;0.16;6.82;6.82;6.48;6.97;0.49;0.03
PrecoMinimo;6.58;0.17;0.15;6.61;6.61;6.25;6.85;0.60;0.03
PrecoMedio;6.66;0.18;0.16;6.72;6.72;6.36;6.91;0.55;0.03
PrecoMelhorCompra;6.69;0.17;0.15;6.72;6.72;6.43;6.92;0.49;0.03
PrecoMelhor;6.66;0.17;0.15;6.70;6.70;6.40;6.88;0.48;0.03

