Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
PrecoAbertura;13.84;0.37;0.32;13.91;13.91;13.20;14.40;1.20;0.14
PrecoFechamento;13.83;0.39;0.33;13.95;13.95;13.06;14.33;1.27;0.15
PrecoMaximo;13.99;0.41;0.35;14.20;14.20;13.23;14.57;1.34;0.17
PrecoMinimo;13.67;0.37;0.31;13.77;13.77;13.00;14.09;1.09;0.14
PrecoMedio;13.81;0.39;0.33;13.96;13.96;13.12;14.35;1.23;0.15
PrecoMelhorCompra;13.84;0.39;0.33;13.97;13.97;13.08;14.33;1.25;0.16
PrecoMelhor;13.82;0.39;0.33;13.95;13.95;13.06;14.32;1.26;0.16

