Serie; media; desvioPadrao; desvioAbsoluto; mediana; quantil; minimo; maximo; amplitude; variancia
PrecoAbertura;20.53;0.56;0.45;20.68;20.68;19.46;21.50;2.04;0.31
PrecoFechamento;20.57;0.60;0.48;20.70;20.70;19.31;21.50;2.19;0.36
PrecoMaximo;20.72;0.58;0.47;20.88;20.88;19.56;21.72;2.16;0.33
PrecoMinimo;20.33;0.59;0.48;20.44;20.44;19.24;21.15;1.91;0.35
PrecoMedio;20.53;0.58;0.46;20.65;20.65;19.39;21.43;2.04;0.34
PrecoMelhorCompra;20.58;0.60;0.48;20.70;20.70;19.31;21.52;2.21;0.36
PrecoMelhor;20.55;0.60;0.47;20.67;20.67;19.30;21.49;2.19;0.36

