0,data;openPrice;maxPrice;minPrice;avgPrice;closePrice;bestPrice;bestBidPrice;numTrader;amountTrader;volumeFinanc;classe
0,20170703;8.1;8.18;8.05;8.12;8.18;8.17;8.18;4902;3309200;2688531600;0
1,20170704;8.19;8.2;8.12;8.16;8.15;8.15;8.17;3686;1499400;1223746700;1
2,20170705;8.15;8.35;8.06;8.2;8.32;8.3;8.32;8290;7521100;6168411900;1
3,20170706;8.33;8.7;8.3;8.53;8.55;8.54;8.55;10;11141800;9514633100;0
4,20170707;8.6;8.7;8.29;8.44;8.32;8.31;8.34;3262;8035100;6783414600;1
5,20170710;8.5;8.53;8.32;8.44;8.52;8.52;8.53;765;5680000;4795380300;1
6,20170711;8.53;8.67;8.37;8.51;8.65;8.63;8.65;2553;5982800;5097516200;1
7,20170712;8.7;8.88;8.65;8.77;8.82;8.82;8.83;4356;6355800;5579410800;0
8,20170713;8.85;8.98;8.81;8.88;8.81;8.81;8.83;2850;6142400;5459068400;1
9,20170714;8.88;9.14;8.88;9.03;9.0;8.99;9.0;4730;8305200;7505159100;1
10,20170717;8.99;9.11;8.97;9.04;9.07;9.04;9.07;8541;3676500;3324250400;0
11,20170718;9.08;9.08;8.89;9.0;9.03;9.0;9.03;6413;3681300;3313437200;0
12,20170719;9.04;9.09;8.87;8.95;8.92;8.92;8.94;7018;4030600;3611103200;0
13,20170720;8.99;9.02;8.9;8.95;8.9;8.9;8.91;4427;2759400;2469726500;0
14,20170721;8.9;8.98;8.78;8.86;8.81;8.81;8.82;4608;3771600;3342044500;0
15,20170724;8.91;8.95;8.82;8.87;8.88;8.87;8.88;3944;4072400;3614236400;0
16,20170725;8.92;8.93;8.83;8.88;8.85;8.85;8.87;6621;4267500;3789889400;0
17,20170726;8.88;8.9;8.55;8.62;8.6;8.59;8.6;9346;7004300;6043477600;0
18,20170727;8.6;8.72;8.37;8.51;8.44;8.44;8.46;8754;4948000;4210459200;1
19,20170728;8.4;8.44;8.27;8.34;8.44;8.4;8.44;8108;6920900;5777614100;0
